RWA_category,RWA_amount
Corporate exposures,65630
Exposures to GSEs,13766
Equity exposures,3180
Residential mortgage exposures,4628
Other assets,2458
Exposures to PSEs,1578
Exposures to U.S. depository institutions,164
Exposures to foreign banks,353
Past due loans,113
Loan commitments with original maturity greater than 1 year,12785
Loan commitments with original maturity of 1 year or less,6598
Letters of credit,1942
Exposure to GSEs – Repo style transactions,27
Derivative contracts,406
Total Standardized Approach Risk-Weighted Assets,113628
